18:28:46 | +27.54s | MainThread | INFO | Termino fragmento 9
18:28:46 | +27.54s | MainThread | INFO | Reproduciendo fragmento 10
18:28:47 | +28.58s | MainThread | INFO | Termino fragmento 10
18:28:47 | +28.58s | MainThread | INFO | Reproduciendo fragmento 11
18:28:48 | +29.62s | MainThread | INFO | Termino fragmento 11
18:28:48 | +29.62s | MainThread | INFO | Resumen concurrente: 11 fragmentos procesados en 29.57 segundos
18:28:55 | +0.02s | MainThread | INFO | Inicio modo secuencial sin concurrencia con 11 fragmentos
18:28:55 | +0.02s | MainThread | INFO | Generando fragmento 1
18:28:56 | +0.80s | MainThread | INFO | Fragmento 1 listo: fragmento_001.wav
18:28:56 | +0.80s | MainThread | INFO | Reproduciendo fragmento 1
18:29:06 | +10.71s | MainThread | INFO | Termino fragmento 1
18:29:06 | +10.71s | MainThread | INFO | Generando fragmento 2
18:29:06 | +11.21s | MainThread | INFO | Fragmento 2 listo: fragmento_002.wav
18:29:06 | +11.21s | MainThread | INFO | Reproduciendo fragmento 2
18:29:16 | +20.64s | MainThread | INFO | Termino fragmento 2
18:29:16 | +20.64s | MainThread | INFO | Generando fragmento 3
18:29:16 | +21.04s | MainThread | INFO | Fragmento 3 listo: fragmento_003.wav
18:29:16 | +21.04s | MainThread | INFO | Reproduciendo fragmento 3
18:29:17 | +22.09s | MainThread | INFO | Termino fragmento 3
18:29:17 | +22.09s | MainThread | INFO | Generando fragmento 4
18:29:18 | +22.49s | MainThread | INFO | Fragmento 4 listo: fragmento_004.wav
18:29:18 | +22.49s | MainThread | INFO | Reproduciendo fragmento 4
18:29:19 | +23.53s | MainThread | INFO | Termino fragmento 4
18:29:19 | +23.53s | MainThread | INFO | Generando fragmento 5
18:29:19 | +23.93s | MainThread | INFO | Fragmento 5 listo: fragmento_005.wav
18:29:19 | +23.93s | MainThread | INFO | Reproduciendo fragmento 5
18:29:20 | +24.97s | MainThread | INFO | Termino fragmento 5
18:29:20 | +24.97s | MainThread | INFO | Generando fragmento 6
18:29:20 | +25.38s | MainThread | INFO | Fragmento 6 listo: fragmento_006.wav
18:29:20 | +25.38s | MainThread | INFO | Reproduciendo fragmento 6
18:29:21 | +26.42s | MainThread | INFO | Termino fragmento 6
18:29:21 | +26.42s | MainThread | INFO | Generando fragmento 7
18:29:22 | +26.81s | MainThread | INFO | Fragmento 7 listo: fragmento_007.wav
18:29:22 | +26.81s | MainThread | INFO | Reproduciendo fragmento 7
18:29:23 | +27.86s | MainThread | INFO | Termino fragmento 7
18:29:23 | +27.87s | MainThread | INFO | Generando fragmento 8
18:29:23 | +28.26s | MainThread | INFO | Fragmento 8 listo: fragmento_008.wav
18:29:23 | +28.26s | MainThread | INFO | Reproduciendo fragmento 8
18:29:24 | +29.31s | MainThread | INFO | Termino fragmento 8
18:29:24 | +29.31s | MainThread | INFO | Generando fragmento 9
18:29:25 | +29.71s | MainThread | INFO | Fragmento 9 listo: fragmento_009.wav
18:29:25 | +29.71s | MainThread | INFO | Reproduciendo fragmento 9
18:29:26 | +30.75s | MainThread | INFO | Termino fragmento 9
18:29:26 | +30.75s | MainThread | INFO | Generando fragmento 10
18:29:26 | +31.17s | MainThread | INFO | Fragmento 10 listo: fragmento_010.wav
18:29:26 | +31.17s | MainThread | INFO | Reproduciendo fragmento 10
18:29:27 | +32.22s | MainThread | INFO | Termino fragmento 10
18:29:27 | +32.22s | MainThread | INFO | Generando fragmento 11
18:29:28 | +32.71s | MainThread | INFO | Fragmento 11 listo: fragmento_011.wav
18:29:28 | +32.71s | MainThread | INFO | Reproduciendo fragmento 11
18:29:29 | +33.76s | MainThread | INFO | Termino fragmento 11
18:29:29 | +33.76s | MainThread | INFO | Resumen secuencial: 11 fragmentos procesados en 33.74 segundos
18:30:01 | +0.02s | MainThread | INFO | Inicio modo concurrente/streaming con 11 fragmentos
18:30:01 | +0.02s | tts_0 | INFO | Generando fragmento 1
18:30:01 | +0.86s | tts_0 | INFO | Fragmento 1 listo: fragmento_001.wav
